DATE,GDP,CPI,RATE
1965-07-01,0.0615361911932464,0.0185000137439224,0.0431
1965-10-01,0.0812312153381125,0.0204506104712894,0.0456666666666667
1966-01-01,0.0813725538611916,0.0285151703080224,0.0506333333333333
1966-04-01,0.0722289000384659,0.0303053494953347,0.0538
1966-07-01,0.0586733060115971,0.0360038887559981,0.0573333333333333
1966-10-01,0.0440649242084934,0.0377403279828474,0.0575666666666667
1967-01-01,0.0288307338769744,0.0306499523439565,0.0519666666666667
1967-04-01,0.0260333259310617,0.026511125548327,0.0452666666666667
1967-07-01,0.0270166688726192,0.0223418715045023,0.0494666666666667
1967-10-01,0.0263579545157206,0.0231224174208542,0.0541333333333333
1968-01-01,0.0377312859556014,0.0306831356728505,0.0546333333333333
1968-04-01,0.0536884480611075,0.0380273955892441,0.0601333333333333
1968-07-01,0.0519913988684575,0.0469129172181062,0.0588666666666667
1968-10-01,0.0484049981939396,0.0528634895570685,0.0607333333333333
1969-01-01,0.0437450600074261,0.0577877404812344,0.0655666666666667
1969-04-01,0.0302104494618654,0.0632550485852037,0.0737666666666667
1969-07-01,0.0290741900874441,0.0587357413606004,0.0851333333333334
1969-10-01,0.0202598275031711,0.0604651957499329,0.0859666666666667
1970-01-01,0.0032440783114378,0.070536539786124,0.0852333333333333
1970-04-01,0.00162703017573484,0.0726057184911331,0.0788666666666667
1970-07-01,0.00421691108327416,0.0725015461054537,0.0767666666666667
1970-10-01,-0.00166842695678504,0.0705789146425868,0.0617
1971-01-01,0.0266150255114859,0.0619916760279677,0.0444
1971-04-01,0.0305933446075102,0.05697743474254,0.0494333333333333
1971-07-01,0.0296160317767935,0.0577834417633247,0.0570666666666667
1971-10-01,0.0427453098489874,0.0487146953191635,0.0493
1972-01-01,0.034170212818367,0.0472648946265033,0.0388
1972-04-01,0.0512175628632683,0.0421749250507149,0.0455
1972-07-01,0.0524210759017407,0.0394249644998617,0.0493333333333333
1972-10-01,0.0666719551886725,0.0435653977572961,0.053
1973-01-01,0.0728962009650331,0.0429938710713018,0.064
1973-04-01,0.061280030667378,0.0566256596933781,0.0767333333333333
1973-07-01,0.0466076633663537,0.0656320149589402,0.103533333333333
1973-10-01,0.0394491139803872,0.0804872509126855,0.0923666666666666
1974-01-01,0.00636742363465537,0.0977711615528314,0.0864
1974-04-01,-0.00208635688916914,0.0975250201338795,0.109433333333333
1974-07-01,-0.00630987035525088,0.104950595586501,0.120266666666667
1974-10-01,-0.019646223344882,0.107957141505094,0.0936666666666666
1975-01-01,-0.0232588787294272,0.0890575787697516,0.0669
1975-04-01,-0.0185129357869869,0.0748752413900196,0.0595666666666667
1975-07-01,0.00795512263302278,0.068336649660433,0.0681666666666667
1975-10-01,0.0252194735036237,0.0615042995592567,0.0628333333333333
1976-01-01,0.0597055112024822,0.0625024260334106,0.0522
1976-04-01,0.0598957770590491,0.063621678678552,0.0550666666666667
1976-07-01,0.0483961531897723,0.0569350179016372,0.0541333333333333
1976-10-01,0.0422431279543964,0.0456499385525944,0.0493333333333333
1977-01-01,0.0317502307802364,0.0477573114180196,0.0483333333333333
1977-04-01,0.0436945760410286,0.0540961870472123,0.0519333333333333
1977-07-01,0.0561052234615804,0.0518086254991852,0.0585
1977-10-01,0.0489047153464188,0.0493020658954828,0.0668666666666667
1978-01-01,0.0403456795870394,0.049118169521384,0.069
1978-04-01,0.0590058798788409,0.0528041441370344,0.0742
1978-07-01,0.0511281282567317,0.056098833849922,0.0827333333333333
1978-10-01,0.0644581668090929,0.0648903016301725,0.102933333333333
1979-01-01,0.063067875479117,0.0701358440119595,0.102766666666667
1979-04-01,0.0262217361797639,0.0770709372843794,0.100566666666667
1979-07-01,0.0236180394724101,0.0867271995798222,0.109033333333333
1979-10-01,0.0127637721095066,0.0972703241758008,0.136633333333333
1980-01-01,0.0141077684618622,0.109069527163512,0.150866666666667
1980-04-01,-0.00778081934695685,0.110019973176421,0.114733333333333
1980-07-01,-0.0163712549867139,0.108259391586866,0.0995
1980-10-01,-0.000391392737688179,0.100911993340695,0.157566666666667
1981-01-01,0.0158731500624469,0.0979522904336179,0.1592
1981-04-01,0.0292548794337488,0.0894011906974352,0.1675
1981-07-01,0.0423481735204518,0.098765671102981,0.1752
1981-10-01,0.0129152495236351,0.0894997549352845,0.134533333333333
1982-01-01,-0.0221469326553017,0.0629837758623597,0.1424
1982-04-01,-0.0101570905068726,0.0568666316741071,0.142333333333333
1982-07-01,-0.0258915256858003,0.0492396256875347,0.1157
1982-10-01,-0.0145367096330418,0.0559586536480463,0.0904
1983-01-01,0.0142130698579788,0.0538215140575327,0.0853
1983-04-01,0.0321625249910049,0.0551483629119232,0.0877333333333333
1983-07-01,0.0557862977171819,0.0399782235055972,0.0955333333333333
1983-10-01,0.0760344544048959,0.0360760564738078,0.0941
1984-01-01,0.0823011597163674,0.0530100913688325,0.0968
1984-04-01,0.0769304543295544,0.0468400668458187,0.109533333333333
1984-07-01,0.0667314625400159,0.0498808060965423,0.1144
1984-10-01,0.0542589872572883,0.0458487094717075,0.0938666666666667
1985-01-01,0.0445439559580905,0.036747878883971,0.0861666666666666
1985-04-01,0.0361797238813644,0.0370645441368169,0.0795
1985-07-01,0.0417410433685426,0.033248363144363,0.0779333333333333
1985-10-01,0.0409717618028882,0.0381232763417194,0.0783
1986-01-01,0.0406196356396169,0.0405357949376466,0.0758333333333333
1986-04-01,0.0363471691178088,0.0288729979144629,0.0666
1986-07-01,0.0307158149146485,0.0330658317358878,0.06
1986-10-01,0.0286655230067385,0.0267873159636483,0.0583
